image_id,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young,image_path,inspect_layer0
000001.jpg,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000001.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000002.jpg,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000002.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000003.jpg,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000003.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000004.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,True,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000004.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000005.jpg,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000005.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000006.jpg,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000006.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000007.jpg,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000007.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000008.jpg,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000008.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000009.jpg,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000009.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000010.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000010.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000011.jpg,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000011.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000012.jpg,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000012.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000013.jpg,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000013.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
000014.jpg,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000014.jpg,"The message is about a man named Jon who is forty-seven years old and lives in a small coastal town called Brackenridge. He realizes that the sea speaks to him and he cleans his windows every Sunday, even if the sky threatens rain.</s>"
