image_id,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young,image_path,inspect_layer0
000001.jpg,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000001.jpg,9.</s>
000002.jpg,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000002.jpg,9.</s>
000003.jpg,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000003.jpg,9.</s>
000004.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,True,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000004.jpg,10.</s>
000005.jpg,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000005.jpg,9.</s>
000006.jpg,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000006.jpg,7.</s>
000007.jpg,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000007.jpg,9.</s>
000008.jpg,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000008.jpg,7.</s>
000009.jpg,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000009.jpg,9.</s>
000010.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000010.jpg,9.</s>
000011.jpg,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000011.jpg,10.</s>
000012.jpg,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000012.jpg,9.</s>
000013.jpg,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000013.jpg,9.</s>
000014.jpg,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000014.jpg,7.</s>
000015.jpg,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,/users/aparasel/scratch/temp_data/img_align_celeba/000015.jpg,7.</s>
000016.jpg,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000016.jpg,9.</s>
000017.jpg,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000017.jpg,9.</s>
000018.jpg,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,True,True,False,False,True,False,True,False,True,False,True,True,False,True,True,False,False,/users/aparasel/scratch/temp_data/img_align_celeba/000018.jpg,9.</s>
000019.jpg,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000019.jpg,9.</s>
000020.jpg,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000020.jpg,7.</s>
000021.jpg,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,/users/aparasel/scratch/temp_data/img_align_celeba/000021.jpg,9.</s>
000022.jpg,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000022.jpg,7.</s>
000023.jpg,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000023.jpg,9.</s>
000024.jpg,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000024.jpg,9.</s>
000025.jpg,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000025.jpg,7.</s>
000026.jpg,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000026.jpg,10.</s>
000027.jpg,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000027.jpg,9.</s>
000028.jpg,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000028.jpg,9.</s>
000029.jpg,False,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,False,False,True,False,True,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000029.jpg,9.</s>
000030.jpg,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,/users/aparasel/scratch/temp_data/img_align_celeba/000030.jpg,9.</s>
000031.jpg,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000031.jpg,9.</s>
000032.jpg,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,/users/aparasel/scratch/temp_data/img_align_celeba/000032.jpg,7.</s>
