image_id,5_o_Clock_Shadow,Arched_Eyebrows,Attractive,Bags_Under_Eyes,Bald,Bangs,Big_Lips,Big_Nose,Black_Hair,Blond_Hair,Blurry,Brown_Hair,Bushy_Eyebrows,Chubby,Double_Chin,Eyeglasses,Goatee,Gray_Hair,Heavy_Makeup,High_Cheekbones,Male,Mouth_Slightly_Open,Mustache,Narrow_Eyes,No_Beard,Oval_Face,Pale_Skin,Pointy_Nose,Receding_Hairline,Rosy_Cheeks,Sideburns,Smiling,Straight_Hair,Wavy_Hair,Wearing_Earrings,Wearing_Hat,Wearing_Lipstick,Wearing_Necklace,Wearing_Necktie,Young,image_path,inspect_layer0,inspect_layer1,inspect_layer2,inspect_layer3,inspect_layer4,inspect_layer5,inspect_layer6,inspect_layer7,inspect_layer8,inspect_layer9,inspect_layer10,inspect_layer11,inspect_layer12,inspect_layer13,inspect_layer14,inspect_layer15,inspect_layer16,inspect_layer17,inspect_layer18,inspect_layer19,inspect_layer20,inspect_layer21,inspect_layer22,inspect_layer23,inspect_layer24,inspect_layer25,inspect_layer26,inspect_layer27,inspect_layer28,inspect_layer29,inspect_layer30,inspect_layer31
000001.jpg,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000001.jpg,Brown. hopefully this helps.</s>,{Black}</s>,{Black}</s>,{Black}.</s>,"Black. Black.

{Black, Blond, Brown, Gray} Out of the listed hair colors the one that best describes this person is Black.</s>",Black. Black is the only one of the listed hair colors that is not a natural hair color for a human. The other colors are natural hair colors for humans.</s>,Black. Black. {Black}</s>,Black. Black. {Black}</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,{Black}.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Blond. hopefully this helps.</s>,{Black}.</s>,{Black}.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>
000002.jpg,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000002.jpg,Brown. hopefully this helps.</s>,{Black}</s>,{Black}</s>,{Black}</s>,Brown. nobody has black hair. Blond and Gray hair are not possible for this person.</s>,Brown. hopefully this helps.</s>,Black. Black. {Black}</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,"""Blond"".</s>",Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,{Black}.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. nobody else matches.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>
000003.jpg,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000003.jpg,Brown. hopefully this helps.</s>,{Black}</s>,{Black}</s>,{Black}</s>,"Black. Black.

{Black, Blond, Brown, Gray} Out of the listed hair colors the one that best describes this person is Black.</s>",Brown. hopefully this helps.</s>,Black. Black. {Black}</s>,Black. Black. {Black}</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,"""Blond"".</s>",Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>
000004.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,True,True,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000004.jpg,{Black}.</s>,{Black}</s>,{Black}</s>,{Black}</s>,Black. nobody has black hair.</s>,Brown. hopefully this helps!</s>,Black. Black. {Black}</s>,Black. Black. {Black}</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,"""Blond"".</s>",Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>
000005.jpg,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000005.jpg,Brown. hopefully this helps.</s>,{Black}</s>,Brown. nobody else matches.</s>,{Black}.</s>,"Black. Black.

{African American, Caucasian, Hispanic, Native American} Out of the listed ethnicities the one that best describes this person is African American.</s>",Black. nobody has black hair. The other options are not correct.</s>,"Black. nobody else has black hair.

{Black, Blond, Brown, Gray} Out of the listed hair colors the one that best describes this person is Black.</s>",Black. Black. {Black}</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,{Black}.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,"""Blond"".</s>","""Blond"".</s>",{Black}.</s>,{Black}.</s>,"""Black"".</s>",Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>
000006.jpg,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000006.jpg,Brown. hopefully this helps.</s>,{Black}</s>,{Black}</s>,{Black}</s>,Brown. nobody has black hair. Blond and Gray hair are not possible for this person. Brown hair is the only one that can be used to describe this person.</s>,Brown. hopefully this helps.</s>,Black. Black. {Black}</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,{Black}.</s>,"""Blond"".</s>",Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,Blond. hopefully this helps.</s>
000007.jpg,True,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000007.jpg,Brown. hopefully this helps.</s>,{Black}</s>,{Black}</s>,{Black}</s>,Black. nobody has black hair.</s>,Brown. hopefully this helps.</s>,Black. Black. {Black}</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>
000008.jpg,True,True,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000008.jpg,{Black}.</s>,{Black}</s>,{Black}</s>,{Black}.</s>,Brown. nobody has black hair. Blond and Gray hair are not possible for this person. Brown hair is the only one that can be used to describe this person.</s>,Brown. hopefully this helps.</s>,Black. Black. {Black}</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,{Black}.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>
000009.jpg,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,True,False,True,False,True,False,True,False,False,True,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000009.jpg,{Black}.</s>,{Black}</s>,{Black}</s>,{Black}.</s>,{Black}.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>
000010.jpg,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,/users/aparasel/scratch/temp_data/img_align_celeba/000010.jpg,Brown. hopefully this helps.</s>,{Black}</s>,{Black}</s>,{Black}.</s>,Brown. nobody has black hair. Blond and Gray hair are not possible for this person. Brown hair is the only one that can be used to describe this person.</s>,Brown. hopefully this helps.</s>,Black. Black. {Black}</s>,Black. Black. {Black}</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,{Black}.</s>,"""Blond"".</s>",Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,Brown. hopefully this helps.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,Blond. hopefully this helps.</s>,Blond. hopefully this helps.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>,{Black}.</s>
